id,code,commercial_item_code,configuration_code,availability_status,amount,currency_code,price_date,source_code,notes
1,sandero_rear_view_camera_option__sandero_iii_expression_ecog120_manual,sandero_rear_view_camera_option,sandero_iii_expression_ecog120_manual,optional,700,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
2,sandero_media_nav_live_option__sandero_iii_expression_ecog120_manual,sandero_media_nav_live_option,sandero_iii_expression_ecog120_manual,optional,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
3,sandero_media_nav_live_option__sandero_stepway_iii_expression_ecog120_manual,sandero_media_nav_live_option,sandero_stepway_iii_expression_ecog120_manual,optional,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
4,sandero_media_nav_live_option__sandero_stepway_iii_expression_ecog120_automatic,sandero_media_nav_live_option,sandero_stepway_iii_expression_ecog120_automatic,optional,1600,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
5,sandero_glass_sunroof_option__sandero_stepway_iii_extreme_ecog120_manual,sandero_glass_sunroof_option,sandero_stepway_iii_extreme_ecog120_manual,optional,2200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
6,sandero_glass_sunroof_option__sandero_stepway_iii_extreme_ecog120_automatic,sandero_glass_sunroof_option,sandero_stepway_iii_extreme_ecog120_automatic,optional,2200,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
7,sandero_comfort_auto_package__sandero_stepway_iii_expression_ecog120_automatic,sandero_comfort_auto_package,sandero_stepway_iii_expression_ecog120_automatic,optional,2000,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
8,sandero_thermo_package__sandero_iii_expression_ecog120_manual,sandero_thermo_package,sandero_iii_expression_ecog120_manual,optional,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
9,sandero_thermo_package__sandero_stepway_iii_expression_ecog120_manual,sandero_thermo_package,sandero_stepway_iii_expression_ecog120_manual,optional,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
10,sandero_thermo_package__sandero_stepway_iii_expression_ecog120_automatic,sandero_thermo_package,sandero_stepway_iii_expression_ecog120_automatic,optional,1900,PLN,2026-07-03,src_pl_sandero_stepway_price_my26_20260703,
